degree,refinement,norm
1,4,0.026304084163922815
1,5,0.00682444021304361
1,6,0.0017225168640518165
1,7,0.000431681978567945
2,4,0.00015825903764251874
2,5,1.0931834018579826e-05
2,6,7.778863681491636e-07
2,7,7.195090613112721e-08
3,4,1.322195378540271e-05
3,5,8.189231602773671e-07
3,6,5.100412510871248e-08
3,7,3.5190320808610278e-09
