nfuncs,degree,ncells,name,count,total_time,nflops,optimal_memory,pessimal_memory,ndofs
1,1,150,pyop3_loop,3,0.00051741,1845000,904816,2700000,22801
1,2,150,pyop3_loop,3,0.003648,6885000,2529616,5400000,90601
1,3,150,pyop3_loop,3,0.013543,22950000,5054416,9000000,203401
1,4,150,pyop3_loop,3,0.01985,44955000,8479216,13500000,361201
1,5,150,pyop3_loop,3,0.030506,98010000,12804016,18900000,564001
1,6,150,pyop3_loop,3,0.042353,170865000,18028816,25200000,811801
1,7,150,pyop3_loop,3,0.0539,277875000,24153616,32400000,1104601
