nfuncs,degree,ncells,name,count,total_time,nflops,optimal_memory,pessimal_memory,ndofs
0,1,200,pyop3_loop,3,0.00081196,1360000,1283208,2880000,40401
1,1,200,pyop3_loop,3,0.0011682,3280000,1606416,4800000,40401
2,1,200,pyop3_loop,3,0.001448,3280000,1929624,6720000,40401
3,1,200,pyop3_loop,3,0.0018343,3600000,2252832,8640000,40401
4,1,200,pyop3_loop,3,0.0021676,4160000,2576040,10560000,40401
5,1,200,pyop3_loop,3,0.0028224,4160000,2899248,12480000,40401
6,1,200,pyop3_loop,3,0.0035555,4400000,3222456,14400000,40401
7,1,200,pyop3_loop,3,0.003484,5040000,3545664,16320000,40401
