nfuncs,degree,ncells,name,count,total_time,nflops,optimal_memory,pessimal_memory,ndofs
1,1,250,pyop3_loop,3,0.0042398,5125000,2508016,7500000,63001
1,2,250,pyop3_loop,3,0.013154,19125000,7016016,15000000,251001
1,3,250,pyop3_loop,3,0.040642,63750000,14024016,25000000,564001
1,4,250,pyop3_loop,3,0.061276,124875000,23532016,37500000,1002001
1,5,250,pyop3_loop,3,0.084801,272250000,35540016,52500000,1565001
1,6,250,pyop3_loop,3,0.11562,474625000,50048016,70000000,2253001
1,7,250,pyop3_loop,3,0.17711,771875000,67056016,90000000,3066001
