nfuncs,degree,ncells,name,count,total_time,nflops,optimal_memory,pessimal_memory,ndofs
1,1,200,pyop3_loop,3,0.0030935,3280000,1606416,4800000,40401
1,2,200,pyop3_loop,3,0.010296,12240000,4492816,9600000,160801
1,3,200,pyop3_loop,3,0.028236,40800000,8979216,16000000,361201
1,4,200,pyop3_loop,3,0.047597,79920000,15065616,24000000,641601
1,5,200,pyop3_loop,3,0.059768,174240000,22752016,33600000,1002001
1,6,200,pyop3_loop,3,0.072833,303760000,32038416,44800000,1442401
1,7,200,pyop3_loop,3,0.11081,494000000,42924816,57600000,1962801
