nfuncs,degree,ncells,name,count,total_time,nflops,optimal_memory,pessimal_memory,ndofs
0,1,200,pyop3_loop,3,0.00084382,1360000,323208,1920000,40401
1,1,200,pyop3_loop,3,0.001176,3280000,646416,3840000,40401
2,1,200,pyop3_loop,3,0.0013175,3280000,969624,5760000,40401
3,1,200,pyop3_loop,3,0.0013995,3600000,1292832,7680000,40401
4,1,200,pyop3_loop,3,0.0015876,4160000,1616040,9600000,40401
5,1,200,pyop3_loop,3,0.0017274,4160000,1939248,11520000,40401
6,1,200,pyop3_loop,3,0.0021875,4400000,2262456,13440000,40401
7,1,200,pyop3_loop,3,0.0022253,5040000,2585664,15360000,40401
